Anomalias de precipitação mm/day
SJ Rio Preto
Ano Anomalia
     6,479522
     21,865349
     -22,723392
     24,854439
     -7,773945
     28,881596
     -12,084701
     44,086853
     15,169456
     123,189774
     -32,643719
     11,469559
     1,792816
     -12,280397
     -33,879463
     36,405571
     35,925671
     -10,327946
     7,721288
     -34,533398
     -13,271483
     -12,869744
     16,362741
     8,073432
     -89,789917
     -22,406704
     39,022758
     29,958286
     -17,031525
     -12,002489
     3,800172
     -43,675507
     24,082830
     54,364040
     5,353308
     -51,171413
     -22,692022
     -19,678566
     -28,756962
     -39,543053
     -16,543007
     -11,433143
     4,290617
     8,166324
     36,865505
     32,546970
     -91,689888
     -143,763611
     37,242744
     -13,123843
     8,170518
     5,584462
     -16,681221
     -7,981116
     -7,998214
     -20,330484
     -44,751518
     -3,697801
     -0,237960
     -57,888012
     34,059914
     -104,185394
     -36,083271
     -20,035727
     -16,346249
     -11,916892
     -12,260238
     -45,668640
     -18,499334
     -52,087574
     61,441578
Ribeirao Preto
Ano Anomalia
1981 -7,165276
1982 -108,140320
1983 -61,353268
1984 -29,849958
1985 -38,966530
1986 28,733013
1987 -10,313352
1988 -12,314830
1989 -36,243576
1990 133,001877
1991 17,670317
1992 34,834179
1993 44,178734
1994 -38,431873
1995 124,700577
1996 -38,551266
1997 -5,591313
1998 16,143627
1999 4,768644
2000 4,639494
2001 -16,384726
2002 81,561409
2003 -2,823699
2004 58,166435
2005 69,659737
2006 114,508949
2007 30,223679
2008 72,959282
2009 76,640305
2010 10,058534
2011 22,196142
2012 -11,593092
2013 111,183182
2014 125,039772
2015 5,098676
2016 51,469120
2017 -90,499756
2018 -115,682411
2019 -60,729580
2020 18,096979
     0,375519
     -13,289885
     -7,096771
     18,383753
     28,417040
     -53,027565
     10,210472
     43,903656
     92,659622
     -70,332634
     91,652481
     20,774611
     -35,650513
     -12,832458
     -9,545992
     -9,641947
     -31,192514
     -46,776577
     52,292030
     -55,335640
     -55,656559
     -17,296507
     28,535061
     -31,577915
     60,306919
     -16,225475
     20,311726
     36,893940
     -29,841221
     -54,755016
     -54,238678
     123,163567
     -10,662773
     5,578324
     -35,138596
     -9,841869
     23,203890
     -0,169801
     -3,063385
     -9,890968
     4,214722
     -26,143795
     31,468105
     -65,445564
     -104,338509
     104,914192
     6,748674
     62,588627
     0,926298
     -0,241406
     -10,104221
     -12,869663
     -40,585491
     41,716728
     -57,602154
     -44,405155
     -43,824371
     71,586922
     -30,270672
     -26,242514
     -11,426883
     21,896395
     20,551270
     8,849990
     7,008752
     -48,073307
     35,898457
     44,598797
     -50,141262
     -83,121941
     50,640404
     4,975926
     2,872821
     -13,047113
     2,184090
     46,836758
     -18,093531
     -9,915723
     -21,194904
     -80,495613
     71,141823
     -30,759983
     131,998550
     57,606670
     -23,069063
     -11,406063
     -0,781896
     -12,188530
     -12,687988
     -26,806309
     -60,961029
     7,137556
     -12,066842
     -2,700645
     25,700478
     22,943810
     4,721673
     -15,409886
     1,765235
     -4,920230
     50,364304
     109,415840
     -7,240846
     -104,319511
     -102,111969
     127,802208
     -36,447670
     29,377104
     -7,801144
     20,660686
     -9,875971
     5,649944
     46,656895
     -25,110945
     -43,546795
     2,152755
     9,550114
     -70,358856
     4,497717
     -13,444037
     -10,342353
     -3,573796
     -2,964109
     -12,614857
     -47,721642
     4,499917
     -5,905198
     -11,306957
     -63,617992
     194,269989
     -49,344036
     15,934590
     17,013462
     -3,638573
     -4,408598
     -12,587347
     -8,968789
     7,194580
     -51,817272
     16,081831
     -63,560577
     -29,830469
     38,744949
     -5,633057
     -1,305725
     -0,207121
     -9,933498
     -1,349791
     39,322884
     -0,758644
     63,927742
     3,420932
     58,600403
     -84,824669
     -55,917404
     -31,122259
     16,737242
     79,459198
     -6,761654
     -12,455055
     -12,931973
     -30,383007
     99,298279
     -41,481194
     -109,007584
     65,262970
     1,311266
     9,231428
     9,841319
     -14,166229
     -10,292770
     14,350117
     -24,890627
     60,601177
     -50,288433
     39,385025
     41,348839
     -12,803101
     -22,302637
     -23,195608
     -24,487286
     0,888280
     -7,967707
     -12,695999
     4,505983
     -77,250221
     -64,876297
     -17,096825
     65,003487
     77,859604
     23,361099
     -55,555748
     -37,612621
     -17,002495
     6,630064
     17,814333
     46,274811
     -77,493546
     34,692543
     -25,149544
     -114,105385
     -85,660431
     -24,828629
     -26,553211
     23,399675
     -15,508277
     -3,261801
     6,423072
     -2,737932
     21,824678
     44,820324
     30,079102
     -1,446443
     82,010223
     -47,308075
     -63,734501
     -12,561947
     -17,150225
     -2,620341
     0,124466
     10,289215
     -53,685783
     46,001274
     16,283178
     182,394958
     -54,288349
     10,557072
     25,294258
     0,854301
     -13,386410
     -4,176694
     -5,929499
     -30,611834
     -45,906403
     -7,785376
     -51,802921
     -19,240177
     99,923256
     -68,785591
     63,492825
     21,462421
     10,818494
     12,259192
     -11,994011
     -42,533493
     22,804190
     -0,145648
     6,278447
     51,667259
     -125,179939
     -16,226793
     -30,496311
     49,934757
     9,299767
     -0,013647
     -11,271968
     3,766912
     -26,432978
     -21,324472
     -38,158981
     -48,102791
     69,389008
     -6,738028
     -33,209572
     -35,653622
     -10,776868
     -9,079515
     -3,266437
     -14,950423
     74,248718
     35,941338
     45,857826
     201,833679
     -43,269791
     -54,103497
     -23,803934
     3,459666
     -15,057842
     37,753483
     -12,662260
     -46,899391
     -50,803165
     -19,063601
     -61,978943
     -7,934338
     32,754669
     -8,210588
     57,911613
     -24,756025
     -10,674246
     -10,825550
     -0,170738
     -30,751598
     -38,749084
     -32,608253
     28,346058
     11,657843
     -1,146849
     15,718061
     -3,416389
     -9,128750
     19,127020
     4,246517
     23,380608
     75,257675
     22,272341
     30,145164
     82,359299
     3,786094
     -72,031570
     -6,685004
     -14,959569
     -33,396488
     -13,320846
     -9,578889
     -12,929250
     20,764378
     -12,109149
     -6,042060
     -36,540909
     -33,459648
     -36,108318
     142,720169
     29,950771
     -41,453350
     3,169841
     -10,266729
     -3,849602
     -41,175774
     34,348198
     -9,735501
     -39,598274
     13,844225
     -104,340157
     -70,034164
     22,291285
     2,650880
     80,785683
     1,531056
     -13,111358
     5,944968
     -15,336950
     -3,471972
     -13,776437
     -83,005875
     35,361946
     27,636925
     17,437420
     11,199438
     22,760332
     -7,417140
     -8,990842
     17,477507
     -18,384115
     -20,078484
     -29,037718
     -169,808167
     -109,431427
     -0,792503
     20,912403
     -33,530445
     -6,419788
     19,471628
     -12,231191
     3,764165
     -83,533707
     58,076790
     -26,348434
     -133,222198
     0,063492
     50,776405
     3,749333
     22,254423
     -8,242343
     14,480831
     -11,870747
     14,154574
     -2,143193
     126,311241
